solvent,solvent smiles,ET(30),α,β,π*,SA,SB,SP,SdP,N (mol/cm3),n,f(n),δ
"1,2-dimethoxyethane",COCCOC,38.2,0,0.41,0.53,0,0.636,0.68,0.625,0.00965,1.377,0.23,18.1
veratrole,COC1=CC=CC=C1OC,38.4,,,,0,0.34,0.851,0.606,0.00782,1.533,0.31036,
eucalyptol,CC1(C2CCC(O1)(CC2)C)C,,0,0.61,,0,0.737,0.736,0.343,0.006,1.4586,0.27317,
acetone,CC(=O)C,42.2,0.08,0.43,0.71,0,0.475,0.651,0.907,0.0136,1.359,0.22015,19.7
2-butanone,CCC(=O)C,41.3,0.06,0.48,0.67,0,0.52,0.669,0.872,0.01116,1.3788,0.23098,19
3-methyl-2-butanone,CC(C)C(=O)C,40.9,,,,,,,,0.0094,1.338,0.20849,
"3,3-dimethyl-2-butanone",CC(=O)C(C)(C)C,39,,,,,,,,0.00799,1.396,0.24028,
2-pentanone,CCCC(=O)C,41.1,0.05,0.5,0.65,0.01,0.537,0.689,0.783,0.0094,1.39,0.23705,18.3
4-methyl-2-pentanone,CC(C)CC(=O)C,39.4,,,,,,,,0.00799,1.395,0.023974,
3-pentanone,CCC(=O)CC,39.3,0,0.45,0.72,0,0.557,0.692,0.785,0.0094,1.392,0.23813,18.4
"2,4-dimethyl-3-pentanone",CC(C)C(=O)C(C)C,38.7,,,,,,,,0.00709,1.399,0.24189,
2-hexanone,CCCCC(=O)C,40.1,0.02,0.48,0.65,,,,,0.00809,1.401,0.24296,
2-heptanone,CCCCCC(=O)C,41.1,0.05,0.48,0.61,,,,,0.00718,1.4007,0.2428,
4-heptanone,CCCC(=O)CCC,38.9,,,,,,,,0.00718,1.407,0.24616,
"2,6-dimethyl-4-heptanone",CC(C)CC(=O)CC(C)C,38,,,,,,,,0.00569,1.412,0.24883,
5-nonanone,CCCCC(=O)CCCC,37.5,,,,,,,,0.00576,1.419,0.25253,
cyclopentanone,C1CCC(=O)C1,39.4,0,0.52,0.76,,,,,0.01129,1.4366,0.26178,
cyclohexanone,C1CCC(=O)CC1,39.8,0,0.53,0.76,0,0.482,0.766,0.745,0.00968,1.4507,0.2691,20.2
