solvent,SMILES,ET30,alpha,beta,pi_star,SA,SB,SP,SdP,N_mol_cm3,n,fn,delta
ketone,CCCCC(=O)CCCC,-0.5951417765383964,,,,,,,,-0.8118164722172796,-0.27380497845453733,-0.17749069322291092,
ketone,O=C1CCCC1,-0.33098904132106016,-0.5557874682470157,0.2855753731428592,0.645182025866447,,,,,0.31198010125530534,0.011924447472883407,0.06968697894741263,
ketone,O=C1CCCCC1,-0.27537793917004216,-0.5557874682470157,0.3195051204469613,0.645182025866447,-0.5803176151277224,0.21311224789024055,0.45602068559788533,0.6915635391878144,-0.015201179629118223,0.2408326807442822,0.2652913638432785,-0.10838750418640267
ketone,CC(=O)CC(C)=O,1.031482961378886,,,,,,,,0.0071528209282027844,0.21972766632918742,0.2473876838049956,
ketone,CC(=O)C(Cl)(Cl)Cl,0.5726913686329854,,,,,,,,-0.17574354726805877,0.011924447472883407,0.06968697894741263,
ester,O=C1CCCO1,0.3502469600289125,-0.5557874682470157,0.18378613123055285,1.0619317282395924,-0.3176250714074502,-0.061510985376259986,0.5602340017851318,1.280262755567306,0.6859015651232179,0.0021836715889915668,0.06140318669089284,1.0431761766556933
ester,COC(C)=O,-0.4005029190098329,-0.5557874682470157,-0.053722099898161735,0.03900064059641722,-0.5803176151277224,0.3620043623118374,-0.9450694542528729,0.37366596234288896,0.5680350167300717,-1.2154133138971714,-1.013352053816174,-0.27289660144955935
ester,COC=O,0.01658034712280353,-0.5557874682470157,-0.2233708364186721,0.114773313755171,,,,,1.2996204895151182,-1.4914019639407003,-1.2648052316672806,
ester,CCCOC=O,,,,,-0.5803176151277224,0.43479606269572924,-0.6903257924618258,0.3618919780152991,0.11689064184595985,,,
ester,COC(=O)OC,-0.49782234777411416,-0.5557874682470157,-0.019792352594059627,,-0.2853645835821536,0.050985278853390804,-0.8524353954197649,0.061655377661758354,0.4318788315172991,-1.1017709285851276,-0.9107399174773587,-0.25233296429166446
ester,CCOC(=O)OCC,-0.7063639808404324,-0.5557874682470157,-0.12158159450636577,-0.5292944080942356,,,,,-0.31393191434967865,-0.8420169050147494,-0.6777248578746337,
ester,CC1COC(=O)O1,0.5865941441707402,-0.5557874682470157,-0.12158159450636577,0.9103863819220849,-0.0918016566303741,-0.2534163772974291,0.22443553851511513,1.2714322673216136,0.42578228591075695,-0.2413357255082396,-0.14916546808771705,1.331067096866217
ester,CCOC(C)=O,-0.5117251233118689,-0.5557874682470157,0.048067142014144595,-0.1504310423004668,-0.5803176151277224,0.41163506711903636,-0.8176976233573493,0.27358709555837524,0.09250445941979157,-1.036832422692532,-0.8522189334716284,-0.478532973028505
ester,CCCOC(C)=O,-0.5951417765383964,-0.5557874682470157,-0.12158159450636577,,-0.5803176151277224,0.431487349041916,-0.6555880203994102,0.14407326795488729,-0.212322820907311,-0.874486157961047,-0.7068517403249738,-0.5607875216600829
ester,CCCCOC(C)=O,-0.4561140211608509,-0.5557874682470157,0.048067142014144595,-0.4914080715148586,-0.5803176151277224,0.3553869350042109,-0.6092709909828562,0.0734293619893482,-0.4419593720870618,-0.678047177635946,-0.5320904456229298,-0.6224784331337668
ester,COC(=O)C(Cl)(Cl)Cl,-0.3031834902455507,,,,,,,,-0.27532045884157913,0.31064157457882174,0.32461400516415595,
ester,CCOC(=O)CCl,-0.33098904132106016,-0.5557874682470157,-0.2912303310268763,0.4178640063901857,,,,,-0.07616663569453874,-0.2413357255082396,-0.14916546808771705,
ester,CCOC(=O)C(Cl)(Cl)Cl,-0.4283084700853414,-0.5557874682470157,-0.630527804067897,0.07688697717579411,,,,,-0.5171501012344137,0.27817232163252403,0.2970904373441084,
ester,C=COC(C)=O,-0.5256278988496237,,,,,,,,0.21240318968178534,-0.6536952379262218,-0.5107129172190101,
ester,C=CC(=O)OC,-0.41440569454758763,,,,,,,,0.25914337266527426,-0.6082382838014028,-0.4703628323566112,
ester,C=C(C)C(=O)OC,-0.5395306743873785,,,,,,,,-0.07413445382569112,-0.3549781108202834,-0.24803653695584557,
ester,COC(=O)c1ccccc1,,-0.5557874682470157,-0.18944108911456997,,-0.5803176151277224,-0.13099397210633854,1.1276176121379176,0.42370539573514576,-0.35457555172662575,,,
ester,CC(=O)OCC(COC(C)=O)OC(C)=O,-0.1919612859435147,,,,-0.47431886941603363,-0.005262853261434682,0.09706370761959154,0.5178972703558645,-0.9012324744465631,-0.0936006246025869,-0.021167516769246858,0.05612159307675402
nitrile,N#CCCl,,-0.5557874682470157,-0.3251600783309782,1.5923404403508685,1.4705276823375608,-0.7728844209461112,0.42128291353546976,1.5127989460372055,1.2467837609250871,-0.2251010990350925,-0.13500285552011937,
nitrile,CCC#N,0.25292753126463124,-0.5557874682470157,-0.15551134181046788,0.45575034296956257,-0.442058381590737,-0.17400724960591096,-0.6787465351076872,1.1124834788991511,0.8952162976144953,-1.1342401815314254,-0.9398667999276996,0.2206306903399107
nitrile,CCCC#N,0.09999700034933101,-0.5557874682470157,-0.12158159450636577,0.45575034296956257,-0.5803176151277224,-0.11114169018345894,-0.43558213067077983,1.041839572933612,0.3404306474191682,-0.8582515314878963,-0.6924219086523283,-0.04669659271271882
nitrile,CCCCC#N,,,,,-0.5803176151277224,-0.03173256249194079,-0.3545273291918103,1.00946111603274,-0.025362088973354915,,,
nitrile,N#Cc1ccccc1,-0.039030755028214466,-0.5557874682470157,-0.2233708364186721,1.175590737977723,-0.3637114825864453,-0.4519391965262248,1.4402575606996573,1.0065176199508425,0.0071528209282027844,1.495769307118687,1.3026359296434868,0.4057034247609615
nitrile,N#CCc1ccccc1,0.1278025514248405,-0.5557874682470157,-0.08765184720226385,1.5544541037714916,,,,,-0.212322820907311,,,
nitrile,N#CC(Cl)(Cl)Cl,-0.2475723880945327,,,,,,,,0.04373209456745502,0.08335680395473768,0.1308801540036334,
amine,CCNCC,-0.8871000628312421,,,,,,,,-0.009104634022576066,,,
amine,CCN(CC)CC,-1.3458916555771419,-0.5557874682470157,0.9302405719207985,-1.703770842054918,-0.5803176151277224,1.5465238503769847,-0.7713805939407953,-1.1834434649808667,-0.5171501012344137,-0.5822628814443676,-0.4476492084274467,-1.136569362081131
amine,CCCCN,-0.5812390010006416,-0.5557874682470157,0.9641703192249006,-1.0597031202055116,-0.5803176151277224,1.741737955951967,-0.4240028733166413,-0.6300662015841446,0.07421482260016546,-0.5319355393776044,-0.4032908369893133,-0.49909661018639917
amine,CCCCNCCCC,,,,,-0.5803176151277224,1.8972474976811904,-0.4008443586083643,-0.8861503607092236,-0.7874302897911115,,,
amine,CCCCN(CCCC)CCCC,-1.3458916555771419,-0.5557874682470157,0.6248728461838798,-1.6279981688961642,-0.5803176151277224,1.4439537271087737,-0.43558213067077983,-1.3247312769119448,-1.1268046618886192,-0.11145871372304868,-0.03666622486208937,-1.0131875391337632
amine,C1CCNCC1,-0.8731972872934873,-0.5557874682470157,2.0499222329561677,-1.0975894567848885,-0.5803176151277224,1.7053421057600215,0.3170695973482232,-0.4269649719332199,0.07015045886247057,0.27817232163252403,0.2970904373441084,-0.31402387576534835
amine,CN1CCCCC1,,,,,-0.5803176151277224,1.3843968813401348,-0.2155762409421482,-1.1598954963256871,-0.30173882313659467,,,
amine,CN1CCCC1,,,,,-0.5803176151277224,1.6557114009528224,-0.16925921152559414,-0.8655458881359414,-0.025362088973354915,,,
amine,CN1CCN(C)CC1,,,,,-0.5803176151277224,1.3711620267248819,0.039167420848899,-0.8802633685454286,-0.47040991825092465,,,
amine,Nc1ccccc1,0.3502469600289125,0.03919964987636215,0.21771587853465496,0.5315230161283163,0.02802301243501327,-0.5081873286410502,2.2855433475517684,1.312641212468178,0.24288591771449541,2.437377642561321,2.0425656315241603,0.6935943449714859
amine,NCCN,0.030483122660558276,-0.2582939091853268,3.3731823778161485,-0.4535217349354819,,,,,1.061855210859978,0.33499351428854235,0.3451898762529285,
amine,C1CCNC1,-0.3726973679343234,-0.18964154940186012,0.8963108246166964,-0.7566124275704966,,,,,0.4745546507630935,0.11582605690103541,0.15867094092872874,
amine,C1COCCN1,-0.10854463271698721,0.10785200965982876,0.8963108246166964,-0.7566124275704966,,,,,0.3505915567634052,0.2944069481056711,0.3107186117016075,
amine,CNc1ccccc1,0.09999700034933101,-0.16675742947403788,0.11592663662234862,0.872500045342708,,,,,-0.10461718185840155,2.1938582454640865,1.8541761624646174,
amine,CN(C)c1ccccc1,-0.7341695319159419,-0.5557874682470157,-0.019792352594059627,0.5315230161283163,,,,,-0.3728651885462519,1.987678489255097,1.69331026122512,
amide,NC=O,1.9490661468706856,1.0689850466283621,0.14985638392645073,1.440795094033361,1.94982635859911,-0.01188028056906121,1.0118250385965324,1.4598160165630512,3.11639108026465,0.1840114880882603,0.2169247058294106,3.8192671929714592
amide,CN(C)C=O,0.19731642911361325,-0.5557874682470157,0.8623810773125943,1.0998180648189693,-0.4374497404728375,0.6465537365397778,0.37496588411891574,1.3744546301880247,0.6594832008282023,-0.07898946077675095,-0.008608218831943288,0.673030707813591
amide,CCN(C=O)CC,,-0.5557874682470157,1.2016785503536154,,-0.5803176151277224,0.649862450193591,0.21285628116097663,1.2626017790759212,-0.1533895467107381,,,
amide,CC(=O)N(C)C,0.155608102500349,-0.5557874682470157,1.099889308441309,1.0998180648189693,-0.45127566382653606,0.7689761417308685,0.42128291353546976,1.4038895910069995,0.21037100781293772,0.034652924535289294,0.08919397361598966,0.3851397876030674
amide,CN(C)P(=O)(N(C)C)N(C)C,-0.12244740825474196,-0.5557874682470157,2.0838519802602695,1.0619317282395924,-0.5803176151277224,1.3082964673024298,0.20127702380683812,1.7365046482614126,-0.8260417452992111,0.35772199135095184,0.3644296518164563,-0.49909661018639917
misc_N_compound,C[N+](=O)[O-],0.6283024707840035,-0.05233682983492677,-1.2751930028458365,0.9861590550808387,-0.22084360793156044,-0.6008313109478216,-0.19241772623387118,1.3067542203043832,1.8137625023334976,-0.9231900373804919,-0.7504084544479609,1.0431761766556933
misc_N_compound,CC[N+](=O)[O-],0.25292753126463124,,,,-0.5803176151277224,-0.6074487382554481,-0.2387347556504252,1.1536924240457156,0.8606692058440903,-0.7121398932295584,-0.5622862044934663,0.5290852477083292
misc_N_compound,O=[N+]([O-])c1ccccc1,-0.08073908164147771,-0.5557874682470157,-0.46087906754738667,1.5923404403508685,-0.3222337125253497,-0.5875964563325686,1.9034278548651975,1.0683310376706892,-0.0009759065471866409,1.8366964630548113,1.574397759478316,0.3851397876030674
misc_N_compound,c1ccncc1,-0.17805851040575996,-0.5557874682470157,0.6927323407920841,1.0619317282395924,-0.4282324582370385,0.5406748996177533,1.3360442445124108,0.7386594764981738,0.535520106828514,1.2035460306020074,1.0664142407801729,0.1795034160241217
misc_N_compound,Cn1ccnc1,,,,,-0.26232137799265604,0.7954458509613747,1.2434101856793025,1.3214717007138705,0.5802281079431557,,,
